"GEO_ID","NAME","B01003_001E","B01003_001EA","B01003_001M","B01003_001MA",
"Geography","Geographic Area Name","Estimate!!Total","Annotation of Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total",
"8600000US00601","ZCTA5 00601","17113","null","283","null",
"8600000US00602","ZCTA5 00602","37751","null","149","null",
"8600000US00603","ZCTA5 00603","47081","null","828","null",
"8600000US00606","ZCTA5 00606","6392","null","365","null",
"8600000US00610","ZCTA5 00610","26686","null","205","null",
"8600000US00612","ZCTA5 00612","59369","null","1349","null",
"8600000US00616","ZCTA5 00616","10022","null","1075","null",
"8600000US00617","ZCTA5 00617","23750","null","326","null",
"8600000US00622","ZCTA5 00622","6741","null","1266","null",
"8600000US00623","ZCTA5 00623","41746","null","1266","null",
"8600000US00624","ZCTA5 00624","21936","null","407","null",
"8600000US00627","ZCTA5 00627","31598","null","*****","*****",
"8600000US00631","ZCTA5 00631","1499","null","306","null",
"8600000US00637","ZCTA5 00637","22383","null","198","null",
"8600000US00638","ZCTA5 00638","16412","null","310","null",
"8600000US00641","ZCTA5 00641","26712","null","468","null",
"8600000US00646","ZCTA5 00646","37095","null","200","null",
"8600000US00647","ZCTA5 00647","5809","null","639","null",
"8600000US00650","ZCTA5 00650","14534","null","602","null",
"8600000US00652","ZCTA5 00652","3565","null","596","null",
"8600000US00653","ZCTA5 00653","10484","null","639","null",
"8600000US00656","ZCTA5 00656","18485","null","45","null",
"8600000US00659","ZCTA5 00659","39950","null","*****","*****",
"8600000US00660","ZCTA5 00660","15943","null","*****","*****",
"8600000US00662","ZCTA5 00662","39700","null","568","null",
"8600000US00664","ZCTA5 00664","14693","null","168","null",
"8600000US00667","ZCTA5 00667","23186","null","144","null",
"8600000US00669","ZCTA5 00669","24803","null","272","null",
"8600000US00670","ZCTA5 00670","8364","null","122","null",
"8600000US00674","ZCTA5 00674","38971","null","286","null",
"8600000US00676","ZCTA5 00676","36299","null","131","null",
"8600000US00677","ZCTA5 00677","14093","null","62","null",
"8600000US00678","ZCTA5 00678","25624","null","589","null",
"8600000US00680","ZCTA5 00680","45190","null","1534","null",
"8600000US00682","ZCTA5 00682","31735","null","1412","null",
"8600000US00683","ZCTA5 00683","29487","null","527","null",
"8600000US00685","ZCTA5 00685","37058","null","398","null",
"8600000US00687","ZCTA5 00687","30962","null","*****","*****",
"8600000US00688","ZCTA5 00688","12139","null","872","null",
"8600000US00690","ZCTA5 00690","5722","null","828","null",
"8600000US00692","ZCTA5 00692","35135","null","639","null",
"8600000US00693","ZCTA5 00693","53360","null","628","null",
"8600000US00694","ZCTA5 00694","64","null","72","null",
"8600000US00698","ZCTA5 00698","35317","null","134","null",
"8600000US00703","ZCTA5 00703","26097","null","524","null",
"8600000US00704","ZCTA5 00704","8108","null","1164","null",
"8600000US00705","ZCTA5 00705","22662","null","281","null",
"8600000US00707","ZCTA5 00707","10721","null","87","null",
"8600000US00714","ZCTA5 00714","17739","null","107","null",
"8600000US00715","ZCTA5 00715","2818","null","596","null",
